ABSLATIT,AIRDIST,AVELF,BUDDHA,CIV72,COLONY,CONFUC,DENS60,DENS65C,DENS65I,DPOP6090,EAST,ECORG,EUROPE,FERTLDC1,GDE1,GDPCH60L,GEEREC1,GOVSH61,GVR61,H60,HERF00,IPRICE1,LAAM,LANDLOCK,LIFE060,LT100CR,MALFAL66,NEWSTATE,OPENDEC1,OTHFRAC,P60,PRIGHTS,POP1560,POP60,POP6560,PRIEXP70,RERD,REVCOUP,SAFRICA,SIZE60,SPAIN,TROPICAR,TROPPOP,WARTIME,WARTORN,YRSOPEN,ZTROPICS,y
0.569,6420,0.872253,0,0.1667,1,0,148.0764,30.75152,7.652775,0.027784,0,3,0,1.796913,0.024,6.192362,0.027,0.2,0.153,0,0.960536,429.52,0,0,42.1,0.01,1,2,0.285,0,0.6,6.56,0.4403,15310,0.029458,0.932,201,0.27,1,15.828624,0,1,0.9892,0.04,1,0,0.20609,-3.18
4.331,5450,0.785556,0,0,1,0,406.1147,0,2.6919,0.022555,0,3,0,1.580215,0.009,6.556778,0.0231,0.36,0.3259,0,0.992032,103.8,0,1,39.3,0,1,2,0.67,0,0.32,6.83,0.3864,1534,0.041721,0.557,156,0.39,1,13.892412,0,1,1,0,0,0,0.443271,-2.52
12.942,7820,0.829398,0,0.3333,1,0,236.673,0,4.861513,0.033396,0,1,0,1.901062,0.015,6.872128,0.0159,0.22,0.1841,0,0.996006,48.33,0,1,41.8,0,1,2,0.89,0,0.42,5.11,0.4518,3141,0.023559,0.998,206,0.05,1,14.924425,0,1,1,0,0,0.04,0.0249,-1.88
13.876,4460,0.732914,0,0.1667,1,0,418.3289,0,2.889398,0.031613,0,5,0,1.925124,0.01,6.276643,0.0049,0.27,0.2591,0,0.504802,93.3,0,1,35.4,0,0.76,2,0.2865,0.035,0.05,6.89,0.4147,3028,0.023448,0.963,204,0.16,1,14.292301,0,0.9998,1,0,0,0,0.37614,-1.79
18.958,8940,0.062749,0,0.6667,1,0,109.5385,8.653484,12.95668,0.026986,0,1,0,1.885705,0.013,7.082549,0.0206,0.14,0.1054,0,0.440978,207.93,0,0,41,0.57,1,2,0.372,0,0.52,5.22,0.411,5309,0.028066,0.928,120,0.1,1,15.659707,0,0.8768,0.48897,0,0,0,0.124251,-1.61
6.385,5260,0.803055,0,0.1667,0,0,92.7045,14.02777,10.4754,0.030287,0,5,0,1.862684,0.009,6.575076,0.0144,0.21,0.1836,0,0.843552,100.6,0,0,41.5,0.68,1,0,0.972,0,0.31,5.72,0.4225,1039,0.036574,0.973,169,0.23,1,13.52109,0,1,0.4435,0.04,1,0.01,0.434209,-1.01
18.932,2500,0.064405,0,0.1667,1,0,7.2393,150.3266,0,0.017617,0,3,0,1.780193,0.025,6.828712,0.0153,0.16,0.1177,0,0.908608,100.91,1,0,42.4,1,1,0,0.291,0.075,0.46,6.5,0.4093,3807,0.050433,0.744,114,0.16,0,15.073309,0,1,0,0.2,1,0,0.206555,-0.87
14.772,4757,0.778868,0,0.1667,1,0,60.411,47.15005,9.656407,0.027802,0,4,0,1.867022,0.011,6.953684,0.0187,0.28,0.2543,0,0.569848,100.48,0,0,39.6,0.59,1,2,0.593,0.001,0.27,4.33,0.4266,3187,0.030122,0.811,146,0.04,1,15.02052,0,1,0.4321,0,0,0,0.848604,-0.67
6.694,5190,0.706071,0,0.1667,1,0,33.5902,77.20781,24.16616,0.027276,0,3,0,1.902853,0.018,6.795706,0.026,0.11,0.065,0,0.821496,158.22,0,0,45.2,0.19,1,2,0.3845,0,0.38,5.89,0.4459,6774,0.025391,0.994,248,0.55,1,15.616553,0,1,0.5747,0,0,0.22,0.924044,-0.41
13.257,4660,0.78037,0,0.8333,1,0,28.4091,63.06274,25.30601,0.030004,0,5,0,1.871802,0,6.400257,0.0211,0.2,0.1759,0,0.678592,162.64,0,0,32.3,1,1,2,0.685,0,0.12,2.44,0.3945,352,0.03125,1,150,0.05,1,12.263889,0,1,0.3605,0,0,0.22,0.647871,-0.31
6.543,4770,0.856709,0,0.5,1,0,21.5287,132.9795,44.82621,0.031227,0,4,0,1.931231,0.006,6.340359,0.0136,0.13,0.1094,0,0.60151,121.57,0,0,39.7,0.13,1,2,0.2505,0.002,0.36,4.89,0.4543,42305,0.023071,0.988,277,0.52,1,16.99302,0,1,0.7552,0.12,1,0,0.789976,-0.21
6.194,5120,0.728487,0,0.3333,1,0,35.9247,74.31586,20.96762,0.027993,0,1,0,1.871802,0.008,5.905362,0.0193,0.26,0.2297,0,0.907938,86.5,0,0,39.5,0.16,1,2,0.7905,0,0.44,6.67,0.4253,1514,0.035667,0.944,141,0.16,1,13.227872,0,1,0.5758,0,0,0,0.948539,-0.14
2.032,6460,0.060862,0,0.1667,1,0,8.9971,0,129.0231,0.032234,0,1,0,2.051813,0.026,6.285998,0.0256,0.2,0.1484,0,0.996008,172.36,0,1,46.5,0,1,2,0.285,0,0.49,6.33,0.4451,2742,0.023705,0.992,165,0.14,1,14.202441,0,1,1,0,0,0,0,0.09
6.364,5040,0.683119,0,0.3333,1,0,49.4502,99.27784,12.51306,0.023965,0,0,0,1.921471,0.018,7.003065,0.0248,0.28,0.2372,0,0.847728,150.44,0,0,38.9,0.11,1,2,0.4405,0,0.27,7,0.4074,2237,0.072865,0.896,126,0.1,1,14.715956,0,1,0.5141,0,0,0.11,0.979711,0.11
10.73,5470,0.852045,0,0.5,1,0,87.8611,19.58585,11.87936,0.026343,0,5,0,1.740466,0.024,6.463029,0.0221,0.19,0.1439,0,0.899314,139.59,0,0,43.4,0.13,1,2,0.4345,0.007,0.65,6.06,0.4052,5297,0.034737,0.915,187,0.08,1,15.037925,0,1,0.8641,0,0,0.16,0.240944,0.24
9.843,3530,0.0525,0,0.8333,1,0,117.5753,29.15127,4.215568,0.032619,0,3,0,1.692492,0.019,8.754319,0.018,0.08,0.043,0.04,0.867942,98.62,1,0,59.8,0.56,0.09504,0,0.423,0.969,1,1.22,0.461,7502,0.024394,0.985,109,0.32,0,17.677243,1,1,0.455,0,0,0.31,0.494292,0.29
9.007,5740,0.677082,0,0.1667,0,0,41.3377,18.25667,25.69841,0.022772,0,0,0,1.759925,0.022,5.549076,0.0095,0.16,0.1325,0,0.340666,137.92,0,1,42.2,0.02,0.85,0,0.2465,0.002,0.07,6.67,0.4451,24191,0.025423,0.983,98,0.72,1,15.642812,0,1,0.9492,1,1,0,0.262954,0.3
15.19,6500,0.599412,0,0.5,1,0,316.3302,0,3.456353,0.025138,0,3,0,1.876101,0.016,7.045777,0.0158,0.15,0.1212,0.04,0.880192,38.01,1,1,42.8,0.02,0.01089,0,0.5395,0.372,0.64,4.11,0.4281,3428,0.031797,0.969,181,1.19,0,15.185509,1,1,1,0,0,0.73,0.204045,0.35
2.154,7340,0.890247,0,0.1667,1,0,88.1299,25.41653,12.16442,0.033545,0,0,0,1.86501,0.019,5.765191,0.0265,0.27,0.2195,0,0.824286,107.24,0,0,40.6,0.09,0.98,2,0.5535,0,0.25,6,0.4589,10026,0.028626,0.872,216,0.05,1,14.978128,0,1,0.8399,0.08,1,0,0.072123,0.38
3.365,6600,0.013333,0,0,1,0,8.711,0,125.1168,0.020279,0,4,0,1.857235,0.014,6.461468,0.0183,0.04,0.01,0,0.996008,114.67,0,1,41.8,0,1,2,0.2215,0,0.18,6.83,0.4047,2948,0.03019,0.977,167,0.39,1,14.45035,0,1,1,0.04,1,0,0,0.46
17.925,4180,0.27,0,0.1667,1,0,1034.5308,2.801948,0.964583,0.023586,0,3,0,1.871802,0.026,6.659294,0.0176,0.25,0.2094,0,0.955058,100.39,0,0,35.3,0.07,0,2,0.81,0.866,0.08,6.33,0.4357,991,0.028254,0.992,198,0.2,1,13.558008,0,0.8225,0.69656,0.44,1,0,0.189173,0.54
14.194,3220,0.097359,0,0.6667,1,0,57.8243,21.19768,17.77783,0.033245,0,3,0,1.994564,0.017,6.946014,0.0211,0.15,0.1109,0.01,0.9418,72.95,1,0,46.8,0.67,0.00324,0,0.615,0.843,0.67,4.06,0.4559,1935,0.022739,0.919,156,0.32,0,14.513877,1,1,0.3687,0.08,1,0.36,0.131982,0.73
13.775,3350,0.051429,0,0.6667,1,0,8.0623,145.0772,0,0.022344,0,3,0,1.848455,0.012,7.26333,0.0224,0.17,0.1346,0.01,0.9608,87.74,1,0,50.8,1,0.00194,0,0.567,0.923,0.8,3.28,0.451,2570,0.025681,0.713,132,0.56,0,15.114991,1,1,0.012,0.36,1,0.4,0.04724,0.81
6.6,4500,0.802727,0,0.8333,1,0,235.8646,4.690946,4.864055,0.023445,1,5,0,1.803688,0.014,7.118826,0.0233,0.43,0.3917,0,0.922408,52.5,0,0,41,0.69,0.95,2,0.691,0,0.32,2.31,0.4045,1920,0.029167,0.971,105,0,0,14.678907,0,1,0.3581,0,0,0,0.345368,0.84
15.811,7870,0.622437,0,0.1667,1,0,26.6591,0,42.25127,0.030129,0,5,0,2.046531,0.005,5.940171,0.0118,0.2,0.1872,0,0.907494,74.5,0,1,37.9,0,0.52,2,0.614,0,0.67,6.39,0.4562,3529,0.02607,0.963,116,0,1,14.108941,0,1,1,0,0,0,0.054808,0.95
17.876,8190,0.598636,0,0.3333,1,0,101.4822,0,11.54453,0.030956,0,3,0,2.044203,0.015,6.896694,0.0163,0.1,0.0687,0,0.922424,73.74,0,1,45.5,0,1,2,0.632,0,0.96,4.83,0.4551,3812,0.028594,0.656,164,0.3,1,15.142604,0,1,1,0.24,1,0,0.065867,0.97
11.794,5940,0.431591,0,0.3333,1,0,128.8893,28.76789,4.808678,0.026207,0,3,0,1.809272,0.027,7.610358,0.0245,0.15,0.0935,0.04,0.897726,61,1,0,48,0.24,0.00255,0,0.3255,0.564,0.83,3.78,0.4332,9931,0.034337,0.985,83,0.28,0,16.813774,1,1,0.5032,0.04,1,0.49,0.459178,0.99
36.676,8570,0.176932,0,0.6667,1,0,132.7459,12.4985,7.530861,0.015255,0,5,0,1.133658,0.021,8.403352,0.0223,0.13,0.0847,0.11,0.950852,88.21,1,0,65.2,0.2,0,0,0.1305,0.836,0.98,3.94,0.3078,20616,0.055442,0.861,113,0.96,0,18.337175,1,0.0268,0,0.36,1,0.09,0.002271,1.02
9.941,3575,0.053214,0,1,1,0,41.3107,29.02468,0,0.030175,0,3,0,1.623144,0.011,7.647786,0.035,0.2,0.155,0.05,0.970352,82.73,1,0,61.9,1,0.00088,0,0.638,0.891,0.96,1,0.474,1236,0.032362,0.803,91,0,0,14.767422,1,1,1.00E-04,0,0,0.42,0.259826,1.02
0.513,6650,0.826965,0,0.5,1,0,68.3077,13.07549,17.49389,0.035654,0,5,0,2.079442,0.003,6.490724,0.0361,0.15,0.1119,0,0.920864,55.74,0,0,45,0.08,0.98,2,0.606,0,0.47,5.33,0.497,8332,0.041167,0.874,131,0.05,1,15.518582,0,1,0.9352,0,0,0.04,0.40147,1.06
36.892,9280,0.14757,0,1,1,0,112.9806,10.12706,2.210206,0.011871,0,5,1,1.148988,0.019,8.982184,0.0256,0.14,0.0904,0.13,0.724194,68.53,0,0,71,0.96,0,0,0.4735,0,1,1,0.3288,2372,0.086425,0.89,101,0,0,16.753673,0,0,0,0,0,0.2,0,1.07
36.72,1675,0.293724,0,0.1667,1,0,220.5315,74.74003,1.552617,0.028417,0,0,0,2.0031,0.03,7.451822,0.0297,0.17,0.1073,0,0.764248,97.96,0,0,47.3,0.05,0.09,2,0.4695,0.836,0.46,5.83,0.4373,10800,0.038519,0.933,190,0.12,0,16.739124,0,0.1618,0.12865,0,1,0,0,1.1
18.055,2560,0.0125,0,0.8333,1,0,6.6483,162.5115,0,0.014329,0,5,0,1.664116,0.004,7.480428,0.0201,0.07,0.0409,0.02,0.830924,85.12,1,0,63,1,0,2,0.757,0,0.92,1.72,0.4171,1629,0.042971,0.471,139,0,0,14.87615,0,1,0,0.04,1,0.42,0,1.13
34.822,8560,0.066667,0,0.5,1,0,68.8771,35.73729,6.170832,0.006722,0,3,0,1.0654,0.014,8.286017,0.0241,0.09,0.0549,0.08,0.513184,125.23,1,0,67.3,0.49,0,0,0.2765,1,1,4.22,0.2785,2538,0.081166,0.796,92,0,0,16.125149,1,0,0,0,0,0.11,0,1.22
14.622,3300,0.476667,0,0.6667,1,0,27.3537,72.5593,19.59408,0.027946,0,3,0,1.878243,0.009,7.414573,0.0156,0.09,0.0634,0.02,0.988072,74.07,1,0,45.9,0.42,0.0204,0,0.3795,0.588,0.45,4,0.46,3964,0.026488,0.72,109,0.51,0,15.699582,1,1,0.3144,0.08,1,0.42,0.12275,1.23
29.13,8930,0.830982,0,0.3333,1,0,70.1908,30.37214,12.78999,0.023544,0,3,0,1.742219,0.017,7.692113,0.0266,0.16,0.1164,0.03,0.482688,85.17,0,0,49.2,0.2,0,0,0.51,0,0.89,4.78,0.4009,17396,0.03863,0.528,72,0.04,1,17.456109,0,0.0378,0,0.44,1,0.09,0.002942,1.23
13.922,3010,0.723821,0.02,0.1667,1,0,10.8185,107.5375,26.15232,0.027496,1,3,0,1.854265,0.013,7.032624,0.0233,0.14,0.1047,0.13,0.587954,89.45,0,0,53.1,1,0.48743,2,0.3945,0.012,0.95,4.28,0.4696,27561,0.030442,0.924,92,0.44,0,17.256781,0,1,7.00E-04,0.36,1,0.16,0.325541,1.3
0.228,6220,0.835791,0,0,1,0,30.4252,0,40.30553,0.034838,0,3,0,1.932246,0.003,6.393591,0.019,0.19,0.17,0,0.834488,170.59,0,1,43.2,0,0.86,2,0.202,0,0.49,5.78,0.4669,6562,0.026364,0.996,155,0.43,1,15.182641,0,1,1,0.28,1,0.16,0.14277,1.37
31.602,3390,0.029719,0,0.1667,1,0,52.4661,21.18003,11.40062,0.028379,0,5,0,2.054241,0.166,7.057898,0.0329,0.21,0.0121,0.01,0.88917,96.95,0,0,47.2,0.15,0,2,0.5545,1,0.77,5.72,0.4441,1695,0.040708,0.838,116,0.2,0,14.493336,0,0,0,0.08,1,0.67,0,1.4
3.684,6330,0.669275,0,0,1,0,345.6478,12.39925,2.793233,0.027473,0,1,0,1.771897,0.025,7.023759,0.0311,0.32,0.2669,0,0.95125,143,0,0,47.3,0.05,1,2,0.883,0,0.78,6.56,0.4082,988,0.034413,0.71,191,0.36,1,13.919442,0,1,0.862,0,0,0,0.027556,1.51
2.062,4580,0.325357,0,0.6667,1,0,62.7328,30.30622,11.7418,0.029481,0,3,0,1.84814,0.021,7.286876,0.0155,0.17,0.1325,0.03,0.784258,26.54,1,0,53.4,0.38,0.2135,0,0.4015,0.714,0.83,3.72,0.4482,4413,0.040109,0.983,113,0.56,0,15.679186,1,1,0.4694,0,0,0.84,0.389073,1.54
27.712,5160,0.45,0.05,0.3333,0,0,14.547,0,75.83333,0.023891,0,5,0,1.844984,0.005,6.44254,0.0048,0.27,0.2552,0.01,0.6334,78.35,0,1,38.5,0,0.04617,0,0.1495,0,0.1,4.33,0.3845,9404,0.039239,0.649,73,0.08,0,15.591431,0,0,0,0,0,0.09,0.054956,1.58
